unique_id,service_request_id,service_category,service_type
5f3e6e60-ee37-4ee3-b07f-3916c1ffc971,1,Category 1,Data Transmission and/or Internet Access
b4e8df20-b3a5-469e-bae2-8e72eb598e81,1,Category 2,Managed Internal Broadband Services
0e1f1a29-d886-48ef-99e8-d8e9e9e3b703,1,Category 1,Data Transmission and/or Internet Access
bdbc17ba-aa6e-4299-85ca-3dc92dc52c55,1,Category 2,Internal Connections
30aecc1c-3ea9-4698-be38-5e521cd1abdf,2,Category 2,Basic Maintenance of Internal Connections
75fcab5d-a37b-4597-8226-90b209e13ec6,3,Category 2,Internal Connections
d8f6b316-cb34-4a43-b053-3b29cd000f3d,4,Category 2,Internal Connections
8ec5c821-496d-4632-8fe7-702d48ff9a03,5,Category 2,Internal Connections
049c2b56-3fdf-4abf-9a72-287ee0cdceda,6,Category 2,Internal Connections
82681e68-b36d-4cab-b5a3-04c1ab884fc5,1,Category 1,Data Transmission and/or Internet Access
e7a4e83f-a2e5-4474-98de-f2f39ad6c788,1,Category 2,Internal Connections
7470ef2a-ae1d-47db-9818-c02b82d5901f,2,Category 2,Basic Maintenance of Internal Connections
413020b1-b4c0-47aa-898c-df12a9044a54,1,Category 1,Data Transmission and/or Internet Access
7de8fa19-62fc-4a43-af3f-f11d574a5e19,1,Category 2,Internal Connections
5032c297-d2d4-4a71-82de-1244da8d5ee2,2,Category 2,Basic Maintenance of Internal Connections
7228674d-aacd-4676-9ee3-aa2dde02550b,3,Category 2,Internal Connections
cd98b592-acb6-4563-aea6-c672ca5ddbb1,4,Category 2,Basic Maintenance of Internal Connections
7c787879-56eb-4c77-9621-1d4525516c25,1,Category 1,Data Transmission and/or Internet Access
6be7b79e-ffb7-4cef-9317-223963bb5102,1,Category 1,Data Transmission and/or Internet Access
9177a987-5a97-44e1-beed-323eb96cbf26,1,Category 1,Data Transmission and/or Internet Access
d3a8b0e4-a186-4c84-9941-c9cc1debdf24,1,Category 1,Data Transmission and/or Internet Access
bc2a4d24-f46a-42bf-b14c-457cb55d58f8,1,Category 1,Data Transmission and/or Internet Access
266aaac2-33b6-4cf2-a62c-a1eec6dcbe8e,2,Category 1,Data Transmission and/or Internet Access
2973be15-132d-48a4-98cf-c1f723f6de2f,2,Category 1,Data Transmission and/or Internet Access
56e401ca-876f-47f8-9ba1-602a010e2a55,2,Category 1,Data Transmission and/or Internet Access
b791c844-984a-433f-b595-d6225dbaf6f9,2,Category 1,Data Transmission and/or Internet Access
39418d6c-05ae-4e31-a3f4-fb66b3f853ae,2,Category 1,Data Transmission and/or Internet Access
ec22db09-68b7-48d7-a8a8-3b2c2d72e5cb,3,Category 1,Data Transmission and/or Internet Access
0325583b-7abe-4b2d-9ecf-19d5bc35454a,3,Category 1,Data Transmission and/or Internet Access
929a4926-7709-4ef8-ac3f-46d44b777bc5,3,Category 1,Data Transmission and/or Internet Access
cc99b07b-ab24-498c-bcdd-9062899428c0,3,Category 2,Internal Connections
e107c83a-fbc9-45b0-b344-92263ca434c1,3,Category 1,Data Transmission and/or Internet Access
768c2446-9d09-4fbb-9591-1d10036c0ba7,3,Category 1,Data Transmission and/or Internet Access
68dc5ae6-6005-481a-811c-fe2f51932da6,4,Category 1,Data Transmission and/or Internet Access
3985da4f-e822-4d52-80ad-0fedcf3dadf2,4,Category 1,Data Transmission and/or Internet Access
34e0e9ae-ae35-4527-b28c-1d129cfead60,4,Category 1,Data Transmission and/or Internet Access
b31f097e-f6eb-4ea5-a820-5d3cd1b42796,4,Category 1,Data Transmission and/or Internet Access
b9849a90-b1d3-44de-a42b-29cd8eb34a57,4,Category 2,Basic Maintenance of Internal Connections
43587ef3-0fcd-4c51-b6c8-04212d30fcb6,4,Category 1,Data Transmission and/or Internet Access
dfefe228-21dd-42ed-9791-d2721b8182ef,1,Category 2,Internal Connections
e4f83683-cf18-48ba-89a8-f76d3c9e7aee,2,Category 2,Basic Maintenance of Internal Connections
4b796979-5915-4d42-b7b0-f6c3aba22b06,1,Category 1,Data Transmission and/or Internet Access
456b00eb-f09b-4f05-988d-f1b3ba284642,1,Category 2,Internal Connections
33e9056b-b803-45c0-8250-6135fb3b02bd,2,Category 2,Basic Maintenance of Internal Connections
909ab699-8efd-4b7c-9dca-3e2925582d20,3,Category 2,Managed Internal Broadband Services
1673819f-c87b-437f-be3e-6f9dd2763ba6,4,Category 2,Managed Internal Broadband Services
92142ff8-9fbf-4c6d-bd80-157ec97d91d6,1,Category 1,Data Transmission and/or Internet Access
5751bdaf-2d8e-494f-9885-e6114753b71e,1,Category 2,Internal Connections
27e23d93-8168-4e42-ae8f-91a5ef60f072,2,Category 2,Basic Maintenance of Internal Connections
bfdc456e-5b1b-41a1-b0e3-706d28110ecd,1,Category 2,Internal Connections
2470dca4-481f-42be-9775-5d655245d2cc,2,Category 2,Basic Maintenance of Internal Connections
d6f2197c-d956-4ee7-a414-a40c62d608cc,3,Category 2,Internal Connections
e113bc4f-7e4a-45c8-a1df-e50f8300a444,4,Category 2,Basic Maintenance of Internal Connections
9d40b9fa-cb97-4472-b284-45d39e38b796,1,Category 2,Internal Connections
35544f36-6e34-4f53-8878-bc6930ef2211,2,Category 2,Basic Maintenance of Internal Connections
b640994a-8724-4c55-9d95-f261e2e1c6e4,3,Category 2,Internal Connections
ee7f29b4-3c50-457e-b58a-ed29fd0435f6,4,Category 2,Basic Maintenance of Internal Connections
d392059d-33ea-4245-a414-88a0577864f3,5,Category 2,Internal Connections
feb65bc1-23e1-47a3-bae0-e8d1d33632b8,6,Category 2,Basic Maintenance of Internal Connections
e0bd9fa7-de32-4771-b12d-2645ea3e0b1d,7,Category 2,Internal Connections
89410443-366c-46ab-956f-55dbc4577a8f,8,Category 2,Basic Maintenance of Internal Connections
b691d5a1-70f1-46a4-9565-ca609a59f2c5,1,Category 2,Internal Connections
872c7444-d9bf-4292-a330-ea76f0da08cf,1,Category 1,Data Transmission and/or Internet Access
37a88f6b-96ca-4771-9608-45e505f5a2b1,2,Category 1,Data Transmission and/or Internet Access
fc6264fa-e441-46c0-82f5-cde0e6067c33,1,Category 1,Data Transmission and/or Internet Access
7d6b0757-069c-46c6-8364-53a46b9a2bcc,1,Category 1,Data Transmission and/or Internet Access
5ac2e85b-3358-4ef3-ac4d-24bbacebda8a,2,Category 1,Data Transmission and/or Internet Access
fae97e5e-00c5-4b44-829e-0e2dbcec04fa,2,Category 1,Data Transmission and/or Internet Access
0b45b0ef-b75a-4bac-8e62-e1890c15bc2c,3,Category 1,Data Transmission and/or Internet Access
e14db9e4-2c85-422e-8cdc-66a91640f0a2,3,Category 1,Data Transmission and/or Internet Access
b8ee0f87-187b-4b4c-b65c-191aaa766522,4,Category 1,Data Transmission and/or Internet Access
81ab7cdd-35eb-470b-a2a5-b0c4eae010c3,4,Category 1,Data Transmission and/or Internet Access
f87b6caa-302b-4603-87bf-8aaa2f42b7af,1,Category 2,Internal Connections
e7fa101f-41d7-4e70-8f1b-2255e38e8fe6,1,Category 2,Internal Connections
f3971fb9-bd68-445b-bf89-9056f4e3abfa,1,Category 2,Internal Connections
86e74b52-7f91-4b8a-babe-acfc31f8a08e,1,Category 2,Internal Connections
171fbce8-85e6-4ea6-baec-714c73070faf,1,Category 2,Internal Connections
ab5a002e-e0ac-48af-995b-3640bc228fe8,1,Category 2,Internal Connections
a56b0ed5-e962-4800-b91a-fb01fdc8ec2e,1,Category 2,Internal Connections
94338c65-cdaf-47dc-a841-397ff3193428,1,Category 2,Internal Connections
6bab2bc0-b0c5-4469-80a1-cb9c12f32703,2,Category 2,Basic Maintenance of Internal Connections
eeba9f51-7ab3-43bd-b869-25ba223fdee7,2,Category 2,Basic Maintenance of Internal Connections
cfb4777b-d42d-4f4c-8a6d-faf856dee6d8,2,Category 2,Basic Maintenance of Internal Connections
53ac093f-9f31-480c-a200-f54f0a3fb6c2,2,Category 2,Basic Maintenance of Internal Connections
315ba791-fdc0-45da-936b-4f445b2213d1,2,Category 2,Basic Maintenance of Internal Connections
d83c43dc-50ef-448f-a296-d54acdec33e9,2,Category 2,Basic Maintenance of Internal Connections
f95a5c76-e115-41a9-9315-66e18cb57572,2,Category 2,Basic Maintenance of Internal Connections
1e39932c-f17e-4108-8411-824f86d5f325,2,Category 2,Basic Maintenance of Internal Connections
b2f37f28-797f-40b2-a1af-b7182a6856b1,3,Category 2,Internal Connections
f7413c61-7a9f-4f41-947b-cd7a0c9c9739,3,Category 2,Internal Connections
18b84502-4f13-47ea-b932-cb3ff2405a95,3,Category 2,Internal Connections
e562fad3-5f32-4f79-9dbd-db4283f58e8b,3,Category 2,Internal Connections
476c9175-fa2e-448d-a2d0-b5454f52e406,3,Category 2,Internal Connections
cb4d8d20-ac5a-4a7f-866e-cd23425187c4,3,Category 2,Internal Connections
4921d884-e520-473a-83b9-b65b4c5a5687,3,Category 2,Internal Connections
d5c7da8b-d50c-478c-a7e9-74bfe4bf4c1f,3,Category 2,Internal Connections
863112df-e775-42cf-984b-d18172fe8ae0,4,Category 2,Basic Maintenance of Internal Connections
f7b28b1d-11f0-4e59-bc64-76325eeefae3,4,Category 2,Basic Maintenance of Internal Connections
32d843bc-6bd1-413c-a7c3-ca0e2e9099be,4,Category 2,Basic Maintenance of Internal Connections
6d2be8ec-e3b5-4ba3-95fa-68f48787ba27,4,Category 2,Basic Maintenance of Internal Connections
14a13773-272f-4fc5-8317-87fdbe75e628,4,Category 2,Basic Maintenance of Internal Connections
cf50eaf2-5019-4bbd-a55b-bebac7ae256b,4,Category 2,Basic Maintenance of Internal Connections
7464c3fe-9df5-4586-8e1b-c96bdafb97d4,4,Category 2,Basic Maintenance of Internal Connections
f3e2c983-7dc7-4988-8c55-4ee7607b504c,4,Category 2,Basic Maintenance of Internal Connections
6d20ea63-f7aa-45d1-8d3c-0d476b754fc2,5,Category 2,Internal Connections
99c457bb-b644-4603-9fbe-2c8ee8329a6c,5,Category 2,Internal Connections
a33a2c1f-fcaa-4b61-ba8f-b5976dd7b877,5,Category 2,Internal Connections
2858bc38-d64a-4fe5-8423-9a3dc8663917,5,Category 2,Internal Connections
74de0c89-4f52-4ccb-a3ed-df89e3520585,5,Category 2,Internal Connections
0d8be735-d8f1-44bb-93f9-db1fdbd3f081,5,Category 2,Internal Connections
6ad38113-978b-43b8-96dc-b35ec4d64448,5,Category 2,Internal Connections
98bb2cfb-8dcb-4542-9a43-3ab6cf759934,5,Category 2,Internal Connections
308fe8ea-2f62-4826-b7fe-4660f4fdf088,6,Category 2,Basic Maintenance of Internal Connections
a92e120d-d99d-4e2a-99a2-b7f00a065834,6,Category 2,Basic Maintenance of Internal Connections
85838549-b56d-4c82-af0c-7a05e6088029,6,Category 2,Basic Maintenance of Internal Connections
e14b6588-0c64-4e93-94b1-6b0ce0919a28,6,Category 2,Basic Maintenance of Internal Connections
5333e90c-b3ca-4143-8c94-ec7abd086e81,6,Category 2,Basic Maintenance of Internal Connections
6715e0cf-dbd0-42cc-99f5-e2ca3f776093,6,Category 2,Basic Maintenance of Internal Connections
9239fc51-4da6-4b12-8ff3-cb25cca6a38f,6,Category 2,Basic Maintenance of Internal Connections
1d7b1580-4117-4e70-b538-adf0dc32a0a1,6,Category 2,Basic Maintenance of Internal Connections
f76c2aa1-6f13-40ce-9eb9-a46751fa5ddb,1,Category 1,Data Transmission and/or Internet Access
32ed16a9-5fb3-4cc8-8afe-0bebdf823afd,2,Category 1,Data Transmission and/or Internet Access
161bee1d-730e-4155-a166-08637798ac28,3,Category 1,Data Transmission and/or Internet Access
d23f4171-29d0-4de0-a692-fff0c184c68e,4,Category 2,Internal Connections
fd0ea3d7-0244-4897-ad6e-0a70a0ab9e38,4,Category 2,Internal Connections
