unique_id,service_request_id,service_category,service_type
a3a8e52a-63ff-4f70-9830-324641f3bcc7,1,Category 2,Managed Internal Broadband Services
92b2be29-3b03-4451-a780-c3ff3c5eeeee,1,Category 1,Data Transmission and/or Internet Access
96d0acb6-ea26-49ba-b333-d578ae59e904,1,Category 2,Internal Connections
5d98cd00-0aef-4ebf-89c5-f00596b75721,1,Category 2,Managed Internal Broadband Services
8e08457e-7231-4ec5-896d-a4ca5c378971,1,Category 1,Data Transmission and/or Internet Access
83e5bd3a-f30b-48d0-984e-7ff6f8d26e01,1,Category 2,Managed Internal Broadband Services
4b73c46e-562a-4d76-a3e2-ba1311eb3de4,1,Category 1,Data Transmission and/or Internet Access
a6ae4d11-44e5-4453-95d8-94c723f1c69c,6,Category 2,Basic Maintenance of Internal Connections
5ae75fc9-28e8-4efb-a305-61789f7c3883,1,Category 2,Managed Internal Broadband Services
347abad9-f977-44fb-a468-027b47fd6c9c,1,Category 2,Internal Connections
82904187-ef1f-4fe3-b2f8-1acab492d595,1,Category 2,Managed Internal Broadband Services
ae58b7c7-55bb-41d1-8039-578473d6c7d2,1,Category 1,Data Transmission and/or Internet Access
562e71c1-14a2-42c5-826e-7936245d19fb,8,Category 2,Basic Maintenance of Internal Connections
0f578ca5-a8f5-44f4-a487-ba395d282f1b,1,Category 2,Internal Connections
05366bf4-2a0d-42ee-b141-fa05ed7ad155,1,Category 2,Internal Connections
c52b8fd7-94d5-4759-a30b-a9e215634136,1,Category 2,Managed Internal Broadband Services
6071eabf-bbda-4e9b-bc9e-639b53f10c77,1,Category 1,Data Transmission and/or Internet Access
f51166b8-c08c-41c0-bd02-a0d15b00e5cd,1,Category 2,Managed Internal Broadband Services
60830a07-6838-44c4-b29d-203b15d84ab0,1,Category 2,Managed Internal Broadband Services
a3c16f49-de4c-49c3-946c-dd526bed5432,1,Category 2,Internal Connections
5e954fd2-026f-4ba0-9e84-29690db19e17,1,Category 2,Managed Internal Broadband Services
7c782fde-22f6-4bf9-8e43-16a3477bd102,1,Category 2,Internal Connections
cbe1a98f-43a1-41c1-a847-9d7441dac32e,1,Category 2,Internal Connections
ff485d9f-0d12-46e3-90f8-cfce15282292,1,Category 2,Managed Internal Broadband Services
eb4cd03a-1dd2-453a-870d-41217bc03e3d,8,Category 2,Basic Maintenance of Internal Connections
f49a5c82-70e1-4b46-b6e7-7ccf69fc7329,1,Category 1,Data Transmission and/or Internet Access
bead710c-c087-4574-b1e2-9d0008d77991,1,Category 2,Internal Connections
d88f6337-3c03-4abb-b91e-fad89e42ccff,1,Category 2,Internal Connections
c434b0ca-4c73-4286-9748-f7c3b0a37641,1,Category 2,Managed Internal Broadband Services
1c2db784-7768-47e9-824d-427179e3441d,1,Category 2,Internal Connections
27326539-aac6-411f-a8a0-a4353ca715f7,1,Category 2,Managed Internal Broadband Services
35a00e5d-868e-45a7-bc99-693d297660f5,1,Category 2,Internal Connections
8549e655-aea6-4c63-8e66-cf7201de8125,,,
bb5f1e28-2d41-4e09-9d1b-0861e62a5d9c,1,Category 1,Data Transmission and/or Internet Access
66fda836-d583-48dd-8e55-ad0567f2de56,1,Category 2,Managed Internal Broadband Services
3fda7a83-3a34-4977-a115-8ec3d3fe658e,1,Category 2,Managed Internal Broadband Services
88077e4a-056f-45aa-9b79-d9138591978f,1,Category 1,Data Transmission and/or Internet Access
4041d339-c411-4bbb-adad-55a6c8e4ec43,1,Category 2,Managed Internal Broadband Services
4ba4ca9f-52ad-4975-8cd8-f1971e395ced,1,Category 2,Internal Connections
b007ad0d-3624-4a78-8b37-2854bc6457da,1,Category 2,Managed Internal Broadband Services
e4a7c9f9-7558-4b38-879a-06264cc89adc,1,Category 1,Data Transmission and/or Internet Access
d7b21265-fd43-4ac7-8989-3458554f19b0,1,Category 2,Managed Internal Broadband Services
3ea2c6ee-9af4-4b58-b9ac-a55acab961f9,1,Category 2,Internal Connections
1ff0af71-a59c-4c36-b530-68b7787534b9,1,Category 2,Internal Connections
94e196e6-9d6a-4638-9d44-32838784c494,1,Category 2,Managed Internal Broadband Services
df49592d-9aaa-40d0-b449-d45a254d670c,1,Category 1,Data Transmission and/or Internet Access
4d5f3fe1-1e8d-4664-96ff-b53d1d1d6e8e,4,Category 2,Internal Connections
d55e7b03-e208-412a-a77b-9996fdfdc205,1,Category 1,Data Transmission and/or Internet Access
ab2d4ba0-8a88-4ebd-82e8-c0d7f62fce44,1,Category 2,Internal Connections
4989ce5f-cd93-43b2-94fc-700a31329744,1,Category 2,Internal Connections
07c8face-e876-4845-bb41-c31f233d4cb2,1,Category 1,Data Transmission and/or Internet Access
2fc621ab-30e5-47fc-a391-7997c96dddeb,1,Category 2,Internal Connections
d2dbd128-722f-465e-b11d-8308e98cc881,1,Category 1,Data Transmission and/or Internet Access
38c2ef26-c005-46bc-976a-1d11f594773c,1,Category 2,Internal Connections
acac82da-7dd5-4a61-bd82-296ff717f7d0,1,Category 2,Internal Connections
7acf04d6-28f7-4c6e-8c5a-e2a85bbfca92,1,Category 1,Data Transmission and/or Internet Access
34b55910-056c-4f3b-ad42-25336b7835ae,1,Category 1,Data Transmission and/or Internet Access
1b33d363-3631-4fa8-ba1e-819957b2addd,1,Category 2,Internal Connections
3764355c-90ad-486e-b966-71545d06b3b4,1,Category 2,Internal Connections
9b270549-b9f0-4826-b1e9-6f37da4707cc,1,Category 1,Data Transmission and/or Internet Access
0ab1a7b7-1ad4-40ee-a8c1-85a94e55dd99,1,Category 1,Data Transmission and/or Internet Access
31942b40-15e7-4d1d-9a5f-6de5bea1ca42,1,Category 1,Data Transmission and/or Internet Access
be106f3f-38cd-4364-97d6-d2f06051c915,2,Category 2,Basic Maintenance of Internal Connections
